City,All industry total (in thousands),  Private industries,"    Agriculture, forestry, fishing and hunting","    Mining, quarrying, and oil and gas extraction",    Utilities,    Construction,    Manufacturing,      Durable goods manufacturing,      Nondurable goods manufacturing,    Wholesale trade,    Retail trade,    Transportation and warehousing,    Information,"    Finance, insurance, real estate, rental, and leasing",      Finance and insurance,      Real estate and rental and leasing,    Professional and business services,"      Professional, scientific, and technical services",      Management of companies and enterprises,      Administrative and support and waste management and remediation services,"    Educational services, health care, and social assistance",      Educational services,      Health care and social assistance,"    Arts, entertainment, recreation, accommodation, and food services","      Arts, entertainment, and recreation",      Accommodation and food services,    Other services (except government and government enterprises),Government and government enterprises,Natural resources and mining,Trade,Transportation and utilities,Manufacturing and information,Private goods-producing industries 2/,Private services-providing industries 3/,Personal income (thousands of dollars),  Net earnings by place of residence,  Personal current transfer receipts,    Income maintenance benefits 1/,    Unemployment insurance compensation,    Retirement and other,"  Dividends, interest, and rent 2/",  Population (persons) 3/,  Per capita personal income 4/,  Per capita net earnings 4/,  Per capita personal current transfer receipts 4/,    Per capita income maintenance benefits 4/,    Per capita unemployment insurance compensation 4/,    Per capita retirement and other 4/,"  Per capita dividends, interest, and rent 4/",  Earnings by place of work,    Wages and salaries,    Supplements to wages and salaries,      Employer contributions for employee pension and insurance funds 5/,      Employer contributions for government social insurance,    Proprietors' income,      Farm proprietors' income,      Nonfarm proprietors' income,Total employment (number of jobs),  Wage and salary employment,  Proprietors employment,    Farm proprietors employment 6/,    Nonfarm proprietors employment,Average earnings per job (dollars),  Average wages and salaries,  Average nonfarm proprietors' income,Total MLB Teams,Total MLB Team Value (dollars thousands),Total team revenue (dollars thousands),Home Games MLB,Reg Season wins MLB,Home Wins MLB,World Series Title,Division Title MLB,Attendance MLB,Attendace per Game MLB,Payroll MLB (dollars),NFL Teams,NFL Team Value (Thousands,NFL Team Revenue,NFL Team Purchased,NFL Team relocated,NBA Team Numbers,NBA Team Value,NBA Team Revenue,Large Market,Medium Market,Small Market,No Teams,NFL Super Bowl Winner,NFL Division Champion,NFL Playoff Participants,NFL Win Percentage,NFL Wins,NFL Home Attendance,Average Attendance Per Game,Year
Atlanta,209741698,191749470,366262,331505,2100718,(D),(D),(D),(D),(D),13217659,(D),(D),41922449,(D),(D),26620247,(D),(D),(D),10466645,(D),(D),(D),(D),(D),4145753,17992228,697767,(D),(D),44962529,33612106,158137364,153691997,117319662,12145861,1204893,316462,10624506,24226474,4402455,34911,26649,2759,274,72,2413,5503,132211508,97270037,17607619,11274319,6333300,17333852,188311,17145541,2809261,2381096,428165,9902,418263,47063,40851,40992,1,407000,145500,81,88,40,0,1,2823530,34858.39506,91936166,1,338000,113000,0,0,1,199000,76000,1,0,0,0,0,0,0,0.4375,7,425717,53214.625,2001
Austin,55307638,47708348,21993,205947,381802,4324915,7829516,(D),(D),5228883,3914260,601566,4007218,7667706,2682100,4985606,7032723,(D),(D),(D),3117985,(D),(D),1861085,323809,1537276,1512749,7599290,227940,9143143,983368,11836734,12382371,35325977,46287123,35973673,3166458,265762,146830,2753866,7146992,1321316,35031,27226,2396,201,111,2084,5409,40372421,28283829,5291252,3505721,1785531,6797340,1835,6795505,863762,700956,162806,8701,154105,46740,40350,44097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2001
Boise,16435618,14448912,(D),13511,57379,1174578,3196453,(D),(D),(D),1328806,(D),(D),2600738,(D),(D),(D),(D),(D),665353,1244607,(D),(D),(D),(D),(D),343967,1986706,(D),(D),(D),(D),(D),(D),14159723,9916533,1525691,110240,52842,1362609,2717499,486078,29131,20401,3139,227,109,2803,5591,11211986,7886015,1740492,1056611,683881,1585479,108356,1477123,311229,250996,60233,4969,55264,36025,31419,26728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2001
Boston,236051306,213403308,(D),87120,2666446,9560212,26949729,(D),(D),14402972,11254143,(D),12665776,57918814,26159461,31759353,39466742,27414775,5470116,6581851,22080112,6171934,15908179,7562132,1913074,5649058,4947012,22647998,(D),25657116,(D),39615505,(D),(D),193144620,136591507,19520756,1390612,856984,17273160,37032357,4432132,43578,30818,4404,314,193,3897,8355,163795738,123533137,23029853,14781135,8248718,17232748,-9520,17242268,3031090,2589016,442074,2473,439601,54039,47714,39223,1,339000,125700,81,82,41,0,0,2625333,32411.51852,110035833,1,524000,128000,0,0,1,218000,81000,0,1,0,0,1,1,1,0.6875,11,482336,60292,2001
Charlotte,76027214,69766921,(D),105937,1805777,3895799,14555666,(D),(D),(D),4688295,(D),(D),16963448,8683640,8279808,8213297,(D),(D),2099208,(D),(D),(D),(D),(D),(D),(D),6260292,(D),(D),(D),(D),(D),(D),52696851,37206830,6484641,591655,221528,5671458,9005380,1795029,29357,20728,3613,330,123,3160,5017,43526553,35818018,7149093,4568341,2580752,559442,323816,235626,1131782,967759,164023,8207,155816,38458,37011,1512,0,0,0,0,0,0,0,0,0,0,0,1,574000,144000,0,0,1,135000,65000,0,0,1,0,0,0,0,0.0625,1,579080,72385,2001
Chicago,401622116,364353412,225855,336839,(D),18673559,55753913,(D),(D),(D),22960254,(D),(D),95985790,42218316,53767475,53849556,(D),(D),12189825,(D),(D),(D),(D),(D),(D),(D),37268704,562694,(D),(D),(D),74990166,289363246,338420040,240548360,34491978,3545967,1401191,29544820,63379702,9169580,36907,26233,3762,387,153,3222,6912,270183189,198222509,41330396,28077898,13252498,30630284,75111,30555173,5450274,4690227,760047,7155,752892,49572,42263,40584,2,460000,205000,162,171,94,0,0,4545637,28059.48765,130369500,1,362000,113000,0,0,1,329000,117000,1,0,0,0,0,1,1,0.8125,13,535552,66944,2001
Cleveland,83403328,74480823,(D),79277,925653,2971005,15330736,10310329,5020407,5379723,5606107,(D),2707391,18174713,7744332,10430381,8983262,5203504,1464482,2315275,7299496,1004564,6294931,2755388,921724,1833664,2097067,8922505,(D),10985830,(D),18038127,(D),(D),68492966,45193386,10226612,897315,231692,9097605,13072968,2141787,31979,21101,4775,419,108,4248,6104,54604989,41445210,9001686,5973926,3027760,4158093,39241,4118852,1322201,1149862,172339,3508,168831,41299,36044,24396,1,372000,142900,81,91,44,0,1,3175523,39203.98765,93360001,1,598000,153000,0,0,1,202000,75000,0,0,1,0,0,0,0,0.4375,7,583094,72886.75,2001
DC,260933317,203090318,(D),180974,(D),12375653,(D),(D),(D),(D),11905161,(D),(D),48181833,(D),(D),(D),(D),(D),(D),15193799,(D),(D),(D),(D),(D),10398164,57842999,(D),(D),(D),26906712,(D),(D),218153023,161027560,14103786,1216880,324489,12562417,43021677,4982993,43780,32315,2830,244,65,2521,8634,186712698,140023877,28194748,18690358,9504390,18494073,946,18493127,3471970,2942400,529570,9782,519788,53777,47588,35578,0,0,0,0,0,0,0,0,0,0,0,1,796000,194000,0,0,1,214000,81000,1,0,0,0,0,0,0,0.5,8,624374,78046.75,2001
Denver,108445517,97432794,(D),916982,673737,6539934,(D),(D),(D),(D),6144636,(D),(D),25270187,8621225,16648961,14382607,(D),1415848,(D),(D),(D),(D),(D),(D),(D),2656302,11012722,(D),(D),(D),(D),(D),(D),86252697,64115448,6314854,510389,159272,5645193,15822395,2218759,38874,28897,2846,230,72,2544,7131,71593077,52820354,10376808,6926821,3449987,8395915,-11414,8407329,1518724,1248190,270534,3719,266815,47140,42318,31510,1,334000,119100,81,73,41,0,0,3166821,39096.55556,71541334,1,540000,115000,0,0,1,188000,72000,0,1,0,0,0,0,0,0.5,8,600283,75035.375,2001
Green Bay,10917643,9892020,(D),17338,364824,533410,2519013,857492,1661520,(D),716644,512566,(D),1855698,790564,1065135,747335,(D),(D),(D),834253,68179,766074,412569,157134,255435,(D),1025624,(D),(D),877391,(D),(D),(D),8653562,6047825,923527,53285,42891,827351,1682210,285783,30280,21162,3232,186,150,2895,5886,7263306,5398964,1346532,938239,408293,517810,46379,471431,195881,169146,26735,3302,23433,37080,31919,20118,0,0,0,0,0,0,0,0,0,0,0,1,392000,119000,0,0,0,0,0,0,0,1,0,0,0,1,0.75,12,478433,59804.125,2001
