,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East,AFC East
1,New England Patriots*,11,5,.688,371,272,99,6.2,-1.9,4.3,1.2,3.1
2,Miami Dolphins+,11,5,.688,344,290,54,3.4,-0.7,2.7,-0.3,3.1
3,New York Jets+,10,6,.625,308,295,13,0.8,0.0,0.8,-2.0,2.8
4,Indianapolis Colts,6,10,.375,413,486,-73,-4.6,0.8,-3.8,6.1,-9.8
5,Buffalo Bills,3,13,.188,265,420,-155,-9.7,0.2,-9.5,-3.9,-5.7
6,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central,AFC Central
7,Pittsburgh Steelers*,13,3,.813,352,212,140,8.8,-1.4,7.4,1.5,5.8
8,Baltimore Ravens+,10,6,.625,303,265,38,2.4,0.8,3.2,-0.8,4.0
9,Cleveland Browns,7,9,.438,285,319,-34,-2.1,1.3,-0.8,-0.9,0.1
10,Tennessee Titans,7,9,.438,336,388,-52,-3.3,1.2,-2.0,2.4,-4.4
11,Jacksonville Jaguars,6,10,.375,294,286,8,0.5,0.4,0.9,-1.1,2.0
12,Cincinnati Bengals,6,10,.375,226,309,-83,-5.2,1.7,-3.5,-4.5,1.0
13,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West,AFC West
14,Oakland Raiders*,10,6,.625,399,327,72,4.5,-0.9,3.6,4.0,-0.4
15,Seattle Seahawks,9,7,.563,301,324,-23,-1.4,-0.4,-1.9,-1.4,-0.4
16,Denver Broncos,8,8,.500,340,339,1,0.1,-0.5,-0.5,0.5,-1.0
17,Kansas City Chiefs,6,10,.375,320,344,-24,-1.5,0.3,-1.2,-0.2,-1.0
18,San Diego Chargers,5,11,.313,332,321,11,0.7,-1.0,-0.3,0.3,-0.6
