,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
0,ARI,2134375,26350,28.3,28.7,108,108,0,4,10,"$106,580,200",3:09,32,16,50%,Lovullo
1,ATL,2505252,30929,28.6,29.4,100,100,0,1,12,"$119,705,250",3:04,47,19,40%,Snitker
2,BAL,2028424,25042,28.6,28.2,97,99,0,1,14,"$161,621,633",3:09,26,17,65%,Showalter
3,BOS,2917678,36021,27.3,28.4,105,104,0,3,15,"$200,550,750",3:20,43,16,37%,Farrell
4,CHC,3199562,39501,27.1,30.8,103,101,0,1,16,"$177,210,667",3:09,53,28,52%,Maddon
5,CHW,1629470,20117,26.7,28.7,97,98,0,1,10,"$97,842,000",3:10,35,17,48%,Renteria
6,CIN,1836917,22678,27.2,27.6,101,103,0,2,8,"$79,315,786",3:03,38,19,50%,Price
7,CLE,2048138,25286,28.1,28.9,106,104,0,5,12,"$114,427,167",3:06,32,15,46%,Francona
8,COL,2953650,36465,28.3,27.0,117,116,0,4,9,"$106,650,000",3:11,38,16,42%,Black
9,DET,2321599,28662,29.6,28.3,101,102,0,2,15,"$118,375,600",3:14,37,16,43%,Ausmus
10,HOU,2403671,29675,28.8,28.5,94,93,0,6,14,"$157,656,400",3:10,39,18,46%,Hinch
11,KCR,2220370,27412,28.9,30.3,101,102,0,3,17,"$127,555,817",3:02,34,24,70%,Yost
12,LAA,3019585,37279,29.9,29.1,97,97,0,1,7,"$181,125,500",3:11,39,21,53%,Scioscia
13,LAD,3765856,46492,27.9,29.7,96,95,0,6,19,"$201,466,263",3:11,36,23,63%,Roberts
14,MIA,1583014,20295,28.3,28.7,90,91,0,2,10,"$111,591,100",3:06,35,18,51%,Mattingly
15,MIL,2627705,31282,27.4,28.3,101,101,0,1,8,"$68,439,300",3:10,43,17,39%,Counsell
16,MIN,2051279,25324,27.1,29.6,100,101,0,3,13,"$103,932,500",3:11,28,19,67%,Molitor
17,NYM,2460622,30378,28.9,27.5,94,95,0,1,11,"$176,615,252",3:09,39,23,58%,Collins
18,NYY,3154938,38950,28.6,27.8,104,103,0,5,16,"$182,424,700",3:16,40,30,75%,Girardi
19,OAK,1475721,18219,28.7,27.9,95,95,0,1,9,"$51,560,000",3:09,32,16,50%,Melvin
20,PHI,1905354,23523,26.6,26.8,98,99,0,1,7,"$86,276,000",3:08,29,17,58%,Mackanin
21,PIT,1919447,23697,28.2,27.1,97,98,0,1,8,"$102,953,333",3:07,49,31,63%,Hurdle
22,SDP,2138491,26401,26.2,27.7,95,97,0,1,7,"$49,248,767",3:00,42,17,40%,Green
23,SEA,2135445,26364,29.6,27.8,95,95,0,2,12,"$172,438,700",3:06,34,17,50%,Servais
24,SFG,3303652,40786,29.5,28.9,98,98,0,1,14,"$177,399,833",3:04,31,19,61%,Bochy
25,STL,3448337,42572,28.0,28.3,98,97,0,2,15,"$129,652,933",3:04,50,26,52%,Matheny
26,TBR,1253619,15477,28.3,27.6,96,96,0,2,11,"$79,473,033",3:13,59,29,49%,Cash
27,TEX,2507760,30960,28.4,28.8,110,110,0,1,12,"$207,326,274",3:13,62,33,53%,Banister
28,TOR,3203886,39554,31.0,28.8,101,102,0,2,14,"$158,890,575",3:09,45,12,26%,Gibbons
29,WSN,2524980,31173,29.2,30.1,104,103,0,5,14,"$175,587,301",3:09,32,12,37%,Baker
