,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unadjusted,Unadjusted,Unadjusted,Unadjusted,Adjusted,Adjusted,Adjusted,Adjusted
,Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,1,Miami Heat,E,SE,58,24,0.7070000000000001,7.46,112.62,104.35,8.27,6.76,112.43,104.94,7.49
1,2,Chicago Bulls,E,C,62,20,0.7559999999999999,7.32,109.3,101.07,8.23,6.53,109.02,101.65,7.37
2,3,Los Angeles Lakers,W,P,57,25,0.695,6.11,111.61,105.0,6.61,6.01,111.4,104.89,6.51
3,4,San Antonio Spurs,W,SW,61,21,0.7440000000000001,5.71,112.31,106.23,6.07,5.86,112.22,105.97,6.25
4,5,Orlando Magic,E,SE,52,30,0.634,5.46,108.78,102.87,5.91,4.92,108.63,103.31,5.32
5,6,Boston Celtics,E,A,56,26,0.6829999999999999,5.37,107.36,101.46,5.9,4.83,107.03,101.73,5.3
6,7,Denver Nuggets,W,NW,50,32,0.61,4.76,112.84,108.03,4.82,4.81,112.73,107.84,4.89
7,8,Dallas Mavericks,W,SW,57,25,0.695,4.23,110.24,105.76,4.49,4.41,110.08,105.4,4.68
8,9,Oklahoma City Thunder,W,NW,55,27,0.6709999999999999,3.79,112.2,108.06,4.14,3.81,112.09,107.93,4.16
9,10,Memphis Grizzlies,W,SW,46,36,0.561,2.34,108.52,105.98,2.55,2.55,108.42,105.65,2.77
10,11,Houston Rockets,W,SW,43,39,0.524,2.18,112.02,109.67,2.35,2.37,112.07,109.51,2.56
11,12,Portland Trail Blazers,W,NW,48,34,0.585,1.52,109.78,107.93,1.85,1.85,109.73,107.54,2.19
12,13,New Orleans Hornets,W,SW,46,36,0.561,0.89,107.25,106.19,1.06,1.28,107.18,105.7,1.48
13,14,Philadelphia 76ers,E,A,41,41,0.5,1.5,107.62,106.02,1.6,1.01,107.55,106.48,1.07
14,15,New York Knicks,E,A,42,40,0.512,0.78,111.76,110.92,0.84,0.48,112.0,111.48,0.51
15,16,Phoenix Suns,W,P,40,42,0.488,-0.89,110.2,111.15,-0.94,-0.46,110.35,110.83,-0.47
16,17,Milwaukee Bucks,E,C,35,47,0.42700000000000005,-0.84,102.47,103.46,-1.0,-1.01,102.29,103.48,-1.18
17,18,Atlanta Hawks,E,SE,44,38,0.537,-0.82,107.01,107.96,-0.95,-1.1,107.03,108.29,-1.26
18,19,Indiana Pacers,E,C,37,45,0.451,-1.07,105.53,106.73,-1.2,-1.37,105.54,107.07,-1.53
19,20,Utah Jazz,W,NW,39,43,0.47600000000000003,-1.83,108.95,111.05,-2.1,-1.44,109.08,110.75,-1.67
20,21,Golden State Warriors,W,P,36,46,0.439,-2.33,108.96,111.39,-2.43,-2.0,109.0,111.08,-2.08
21,22,Los Angeles Clippers,W,P,32,50,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08
22,23,Detroit Pistons,E,C,30,52,0.366,-3.6,108.37,112.5,-4.13,-3.78,108.65,112.98,-4.33
23,24,Charlotte Bobcats,E,SE,34,48,0.415,-4.0,104.32,108.92,-4.6,-4.08,104.43,109.11,-4.67
24,25,Sacramento Kings,W,P,24,58,0.293,-5.34,104.18,109.82,-5.65,-4.8,104.16,109.24,-5.07
25,26,Minnesota Timberwolves,W,NW,17,65,0.207,-6.63,104.84,111.69,-6.85,-5.97,104.93,111.07,-6.15
26,27,Toronto Raptors,E,A,22,60,0.268,-6.28,106.85,113.57,-6.72,-6.28,107.17,113.88,-6.72
27,28,New Jersey Nets,E,A,24,58,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99
28,29,Washington Wizards,E,SE,23,59,0.28,-7.4,103.12,110.93,-7.81,-7.3,103.39,111.09,-7.71
29,30,Cleveland Cavaliers,E,C,19,63,0.23199999999999998,-9.01,102.74,112.56,-9.81,-8.88,103.02,112.69,-9.67
