,Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
0,Arizona Cardinals,811391,307315.0,504076.0,Bye,50913,28878,66360,66944,35916,63114,33430,36917,32322,49398,46601,40056,77913,48883,72025,61721
1,Atlanta Falcons,917882,425717.0,492165.0,65989,47804,28878,46483,46727,70020,Bye,44229,69010,59849,72234,59318,68826,55603,43320,73559,66033
2,Baltimore Ravens,1064731,554991.0,509740.0,69365,51121,75082,69494,59866,72818,69439,62906,68798,69353,53530,69382,Bye,69506,68987,65619,69465
3,Buffalo Bills,1005954,504736.0,501218.0,71447,56135,72874,72654,Bye,58893,63698,63786,60292,60836,73063,67252,44549,45527,43320,78200,73428
4,Carolina Panthers,1085651,579080.0,506571.0,64108,47804,73120,66944,72049,74480,72642,72597,66069,72665,72234,70020,44549,Bye,72438,72025,71907
5,Chicago Bears,1059454,535552.0,523902.0,69365,66944,Bye,46483,66944,63408,66944,66944,66944,65612,64214,66944,59869,66944,78884,76067,66944
6,Cincinnati Bengals,988273,454938.0,533335.0,51521,51121,56048,62335,64217,63408,69343,Bye,57161,63865,72918,52135,44920,77745,68987,63751,68798
7,Cleveland Browns,1089586,583094.0,506492.0,72318,73168,57875,73018,64217,72818,Bye,66944,73218,69353,72918,72818,60292,72818,59824,68798,59189
8,Dallas Cowboys,1056213,505501.0,550712.0,61521,63430,66621,61535,63941,Bye,63114,78673,69010,63204,64104,85112,61821,63366,48883,64366,77512
9,Denver Broncos,1115203,600283.0,514920.0,75735,50913,75082,75037,61837,67521,74750,62637,74951,74622,64104,73938,74524,77778,Bye,75582,56192
10,Detroit Lions,1093748,601815.0,491933.0,59523,73168,Bye,77765,64048,76940,69343,67605,74268,32322,77730,66944,65514,72190,62809,76067,77512
11,Green Bay Packers,1040215,478433.0,561782.0,59523,59771,73120,65510,59866,64165,Bye,59861,66944,59849,77730,66908,59869,68804,59824,59870,78601
12,Indianapolis Colts,1006986,450746.0,556240.0,78606,56135,60292,Bye,56972,56022,74212,63786,57127,70020,56393,69382,73858,55603,56302,66084,56192
13,Jacksonville Jaguars,987779,483542.0,504237.0,63785,65994,57875,54524,Bye,58893,69439,68798,57161,62644,53530,66908,44920,72818,64150,59396,66944
14,Kansas City Chiefs,1120677,617488.0,503189.0,78844,77666,76573,75037,78413,35916,74212,58789,78234,Bye,77357,77087,60784,77778,76131,59396,58460
15,Miami Dolphins,1119236,587756.0,531480.0,68798,73404,66046,72713,78823,Bye,59108,72597,57127,74259,73063,73938,73858,68223,60292,73559,73428
16,Minnesota Vikings,1045690,513344.0,532346.0,64108,66944,64105,70020,64048,64165,65558,Bye,65638,64283,64214,62661,64271,72190,64150,59870,69465
17,New England Patriots,977717,482336.0,495381.0,51521,60292,60292,72713,60292,56022,74750,44229,60292,60292,60292,78712,60292,45527,60292,Bye,71907
18,New Orleans Saints,1111335,560472.0,550863.0,71447,Bye,78451,70020,72049,70020,66189,70020,68083,70020,60292,70020,68826,70332,65526,70020,70020
19,New York Giants,1156600,627985.0,528615.0,75735,77666,78451,78651,65992,78821,80316,78673,36917,64283,78756,Bye,61821,77913,78119,65885,78601
20,New York Jets,1158872,627808.0,531064.0,78606,60292,78722,72654,78823,78766,72642,70020,78234,74259,Bye,78712,62884,77745,56302,78200,62011
21,Oakland Raiders,1035571,472091.0,563480.0,78844,73404,54629,61535,56972,Bye,65342,62637,67231,61960,78756,46601,60784,67349,61934,75582,62011
22,Philadelphia Eagles,1061162,527193.0,533969.0,66243,62826,66621,66360,Bye,78821,65342,33430,65638,63204,65666,77087,65438,84936,68124,65885,65541
23,Pittsburgh Steelers,1055127,499191.0,555936.0,63785,Bye,72874,62335,78413,65588,63763,62906,73218,62644,68801,62661,62884,69506,62809,63751,59189
24,San Diego Chargers,1005530,474844.0,530686.0,60629,63430,56048,73018,60292,67521,63698,58789,74951,61960,49398,55466,65438,67349,76131,51412,Bye
25,San Francisco 49ers,1061811,539756.0,522055.0,65989,67536,78722,66944,46727,Bye,66944,67605,68083,72665,56393,67252,66218,68223,68124,64366,70020
26,Seattle Seahawks,1034365,482818.0,551547.0,72318,62826,54629,54524,61837,Bye,59108,82352,67231,60836,77357,55466,74524,63366,78119,51412,58460
27,St. Louis Rams,1081519,528829.0,552690.0,66243,67536,66046,77765,65992,78766,66189,Bye,66069,60292,66198,59318,66218,70332,72438,66084,66033
28,Tampa Bay Buccaneers,1038298,524468.0,513830.0,61521,Bye,64105,65510,68798,65588,65558,59861,74268,65612,66198,52135,65514,66944,65526,65619,65541
29,Tennessee Titans,1089472,550393.0,539079.0,68798,65994,Bye,69494,68798,76940,63763,68798,68798,63865,68801,72818,64271,68804,61934,68798,68798
30,Washington Redskins,1137730,624374.0,513356.0,60629,59771,76573,78651,63941,74480,80316,82352,Bye,74622,65666,85112,40056,84936,78884,70020,61721
31,,16306889,,,1008432,877004,909316,1013043,908919,863358,954418,892627,983941,955786,1000654,1004354,913824,1039034,965723,1010634,1005822
